Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7
KMT2D,0.031,0.592,0.362,5,hsa-miR-1229-3p,hsa-miR-1227-5p,hsa-miR-4749-5p,hsa-miR-5591-5p,hsa-miR-7854-3p,,
C12orf49,0.0375,0.592,0.323,4,hsa-miR-7854-3p,hsa-miR-5587-5p,hsa-miR-4749-5p,hsa-miR-1229-3p,,,
ZNF445,0.000911,0.539,0.113,4,hsa-miR-7703,hsa-miR-6802-3p,hsa-miR-371b-5p,hsa-miR-1253,,,
SRARP,0.000997,0.539,0.116,4,hsa-miR-5587-5p,hsa-miR-6802-3p,hsa-miR-412-3p,hsa-miR-1253,,,
TOR4A,0.0067,0.592,0.194,4,hsa-miR-4749-5p,hsa-miR-7703,hsa-miR-6774-3p,hsa-miR-1253,,,
LRIG2,0.031,0.592,0.304,4,hsa-miR-4282,hsa-miR-412-3p,hsa-miR-6829-3p,hsa-miR-1253,,,
YOD1,0.166,0.592,0.541,4,hsa-miR-412-3p,hsa-miR-548h-5p,hsa-miR-449c-3p,hsa-miR-218-2-3p,,,
PARD6B,0.0405,0.592,0.331,4,hsa-miR-4282,hsa-miR-5591-5p,hsa-miR-4524b-5p,hsa-miR-371b-5p,,,
IPP,0.0244,0.592,0.283,4,hsa-miR-7703,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-371b-5p,,,
PAICS,0.00415,0.592,0.17,4,hsa-miR-134-3p,hsa-miR-3130-3p,hsa-miR-7703,hsa-miR-371b-5p,,,
MMAB,0.0229,0.592,0.277,4,hsa-miR-3130-3p,hsa-miR-4524b-5p,hsa-miR-7854-3p,hsa-miR-371b-5p,,,
SCOC,0.0019,0.585,0.137,4,hsa-miR-1253,hsa-miR-134-3p,hsa-miR-371b-5p,hsa-miR-4282,,,
MAPK8,0.00307,0.585,0.156,4,hsa-miR-4524b-5p,hsa-miR-7703,hsa-miR-371b-5p,hsa-miR-4282,,,
HMGA1,0.0894,0.592,0.431,4,hsa-miR-4741,hsa-miR-6802-3p,hsa-miR-5591-5p,hsa-miR-4722-3p,,,
SAMD8,0.0416,0.592,0.334,4,hsa-miR-548h-5p,hsa-miR-6829-3p,hsa-miR-6802-3p,hsa-miR-4722-3p,,,
LRRC3C,0.0208,0.592,0.269,4,hsa-miR-1253,hsa-miR-134-3p,hsa-miR-7703,hsa-miR-4722-3p,,,
CALR,0.031,0.592,0.304,4,hsa-miR-412-3p,hsa-miR-6722-3p,hsa-miR-1253,hsa-miR-4749-5p,,,
PAK4,0.00307,0.585,0.156,4,hsa-miR-1229-3p,hsa-miR-371b-5p,hsa-miR-6829-3p,hsa-miR-4749-5p,,,
PKD1,0.0146,0.592,0.242,4,hsa-miR-412-3p,hsa-miR-5591-5p,hsa-miR-6722-3p,hsa-miR-548h-5p,,,
HMGN2,0.0943,0.592,0.439,4,hsa-miR-548h-5p,hsa-miR-1253,hsa-miR-371b-5p,hsa-miR-5591-5p,,,
BCL2L1,0.0801,0.592,0.415,4,hsa-miR-7854-3p,hsa-miR-4722-3p,hsa-miR-371b-5p,hsa-miR-6722-3p,,,
MAFK,0.031,0.592,0.304,4,hsa-miR-6829-3p,hsa-miR-134-3p,hsa-miR-4749-5p,hsa-miR-6722-3p,,,
MAPKAPK2,0.00177,0.585,0.135,4,hsa-miR-1229-3p,hsa-miR-1253,hsa-miR-5591-5p,hsa-miR-6722-3p,,,
DCAF7,0.113,0.592,0.469,4,hsa-miR-1229-3p,hsa-miR-4282,hsa-miR-1253,hsa-miR-6769b-5p,,,
FEM1A,0.229,0.592,0.617,4,hsa-miR-7854-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6769b-5p,,,
MIDN,0.204,0.592,0.587,4,hsa-miR-7854-3p,hsa-miR-3130-3p,hsa-miR-6722-3p,hsa-miR-6769b-5p,,,
GATA6,0.179,0.592,0.558,4,hsa-miR-1229-3p,hsa-miR-7703,hsa-miR-1253,hsa-miR-6829-3p,,,
TMEM154,0.013,0.592,0.234,4,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-5585-3p,hsa-miR-6829-3p,,,
GIGYF1,0.283,0.592,0.676,4,hsa-miR-412-3p,hsa-miR-6769b-5p,hsa-miR-6802-3p,hsa-miR-6829-3p,,,
SFT2D2,0.177,0.592,0.555,4,hsa-miR-4524b-5p,hsa-miR-6722-3p,hsa-miR-1253,hsa-miR-6847-3p,,,
CYP20A1,0.126,0.592,0.487,4,hsa-miR-6722-3p,hsa-miR-548h-5p,hsa-miR-371b-5p,hsa-miR-6847-3p,,,
PARP15,0.0236,0.592,0.28,4,hsa-miR-4282,hsa-miR-371b-5p,hsa-miR-548h-5p,hsa-miR-6847-3p,,,
FOSL2,0.0169,0.592,0.253,4,hsa-miR-7703,hsa-miR-6769b-5p,hsa-miR-6847-3p,hsa-miR-7151-5p,,,
ZNF264,0.243,0.592,0.633,4,hsa-miR-1229-3p,hsa-miR-449c-3p,hsa-miR-4282,hsa-miR-7703,,,
KIF3A,0.0493,0.592,0.353,4,hsa-miR-548h-5p,hsa-miR-4282,hsa-miR-4722-3p,hsa-miR-7703,,,
IKZF3,0.0529,0.592,0.361,4,hsa-miR-371b-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-7703,,,
ORC6,0.00439,0.592,0.172,4,hsa-miR-6829-3p,hsa-miR-7854-3p,hsa-miR-4741,hsa-miR-7703,,,
KLHL11,0.014,0.592,0.24,4,hsa-miR-548h-5p,hsa-miR-4282,hsa-miR-6829-3p,hsa-miR-7703,,,
COX6B1,0.132,0.592,0.496,4,hsa-miR-4524b-5p,hsa-miR-4741,hsa-miR-6847-3p,hsa-miR-7703,,,
RNF40,0.0175,0.592,0.256,4,hsa-miR-1229-3p,hsa-miR-1227-5p,hsa-miR-6769b-5p,hsa-miR-7854-3p,,,
FAM229B,0.0421,0.592,0.262,3,hsa-miR-4524b-5p,hsa-miR-6829-3p,hsa-miR-1229-3p,,,,
CANX,0.0862,0.592,0.352,3,hsa-miR-4524b-5p,hsa-miR-6722-3p,hsa-miR-1253,,,,
SULT1B1,0.165,0.592,0.47,3,hsa-miR-371b-5p,hsa-miR-6847-3p,hsa-miR-1253,,,,
NF2,0.099,0.592,0.373,3,hsa-miR-1229-3p,hsa-miR-7703,hsa-miR-1253,,,,
ATP5A1,0.0614,0.592,0.305,3,hsa-miR-1229-3p,hsa-miR-371b-5p,hsa-miR-134-3p,,,,
YWHAZ,0.403,0.601,0.761,3,hsa-miR-1229-3p,hsa-miR-6769b-5p,hsa-miR-134-3p,,,,
EXTL3,0.0243,0.592,0.212,3,hsa-miR-5591-5p,hsa-miR-6847-3p,hsa-miR-134-3p,,,,
CDC27,0.0192,0.592,0.194,3,hsa-miR-4282,hsa-miR-1253,hsa-miR-218-2-3p,,,,
SON,0.139,0.592,0.435,3,hsa-miR-412-3p,hsa-miR-4282,hsa-miR-218-2-3p,,,,
ZFP69B,0.0632,0.592,0.309,3,hsa-miR-1229-3p,hsa-miR-7703,hsa-miR-218-2-3p,,,,
FAM241A,0.288,0.592,0.625,3,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-3130-3p,,,,
UTP6,0.0148,0.592,0.176,3,hsa-miR-7703,hsa-miR-1253,hsa-miR-371b-5p,,,,
TUBB2A,0.345,0.593,0.693,3,hsa-miR-7854-3p,hsa-miR-1253,hsa-miR-371b-5p,,,,
SHMT1,0.0842,0.592,0.348,3,hsa-miR-4282,hsa-miR-134-3p,hsa-miR-371b-5p,,,,
PDP2,0.117,0.592,0.402,3,hsa-miR-6722-3p,hsa-miR-134-3p,hsa-miR-371b-5p,,,,
PXMP4,0.058,0.592,0.298,3,hsa-miR-7703,hsa-miR-134-3p,hsa-miR-371b-5p,,,,
KLF2,0.106,0.592,0.384,3,hsa-miR-6802-3p,hsa-miR-412-3p,hsa-miR-371b-5p,,,,
ZMAT3,0.203,0.592,0.521,3,hsa-miR-4282,hsa-miR-4524b-5p,hsa-miR-371b-5p,,,,
C11orf54,0.146,0.592,0.445,3,hsa-miR-4282,hsa-miR-4722-3p,hsa-miR-371b-5p,,,,
NAA50,0.167,0.592,0.474,3,hsa-miR-1229-3p,hsa-miR-5587-5p,hsa-miR-371b-5p,,,,
VHL,0.0289,0.592,0.226,3,hsa-miR-4282,hsa-miR-6802-3p,hsa-miR-371b-5p,,,,
FOXJ3,0.0393,0.592,0.255,3,hsa-miR-5585-3p,hsa-miR-6802-3p,hsa-miR-371b-5p,,,,
DDX19B,0.099,0.592,0.373,3,hsa-miR-3130-3p,hsa-miR-6829-3p,hsa-miR-371b-5p,,,,
PHAX,0.217,0.592,0.539,3,hsa-miR-6847-3p,hsa-miR-6829-3p,hsa-miR-371b-5p,,,,
SPRYD4,0.0705,0.592,0.323,3,hsa-miR-548h-5p,hsa-miR-7703,hsa-miR-371b-5p,,,,
DEFB105A,0.0104,0.592,0.154,3,hsa-miR-6847-3p,hsa-miR-7703,hsa-miR-371b-5p,,,,
DEFB105B,0.0104,0.592,0.154,3,hsa-miR-6847-3p,hsa-miR-7703,hsa-miR-371b-5p,,,,
ZNF195,0.00492,0.592,0.119,3,hsa-miR-1229-3p,hsa-miR-218-2-3p,hsa-miR-412-3p,,,,
AGO2,0.644,0.689,1.08,3,hsa-miR-548h-5p,hsa-miR-6769b-5p,hsa-miR-412-3p,,,,
P2RY2,0.000571,0.539,0.0575,3,hsa-miR-1229-3p,hsa-miR-6802-3p,hsa-miR-412-3p,,,,
GAPVD1,0.103,0.592,0.381,3,hsa-miR-371b-5p,hsa-miR-6802-3p,hsa-miR-412-3p,,,,
CLIC5,0.0192,0.592,0.194,3,hsa-miR-4282,hsa-miR-6802-3p,hsa-miR-412-3p,,,,
CCS,0.0513,0.592,0.284,3,hsa-miR-6802-3p,hsa-miR-371b-5p,hsa-miR-4282,,,,
TFDP2,0.139,0.592,0.435,3,hsa-miR-7703,hsa-miR-371b-5p,hsa-miR-4282,,,,
MPLKIP,0.159,0.592,0.463,3,hsa-miR-1253,hsa-miR-4722-3p,hsa-miR-4282,,,,
PTMA,0.154,0.592,0.456,3,hsa-miR-5585-3p,hsa-miR-5587-5p,hsa-miR-4282,,,,
SETBP1,0.0104,0.592,0.154,3,hsa-miR-6769b-5p,hsa-miR-7151-5p,hsa-miR-4282,,,,
FHL2,0.065,0.592,0.312,3,hsa-miR-412-3p,hsa-miR-7703,hsa-miR-4282,,,,
DDX3X,0.131,0.592,0.424,3,hsa-miR-4524b-5p,hsa-miR-7703,hsa-miR-4282,,,,
ACVR2B,0.0668,0.592,0.316,3,hsa-miR-134-3p,hsa-miR-7854-3p,hsa-miR-4282,,,,
KIF5B,0.0782,0.592,0.338,3,hsa-miR-4282,hsa-miR-7703,hsa-miR-4524b-5p,,,,
TEF,0.011,0.592,0.158,3,hsa-miR-4282,hsa-miR-7703,hsa-miR-4524b-5p,,,,
TNPO2,0.149,0.592,0.449,3,hsa-miR-6722-3p,hsa-miR-1253,hsa-miR-4722-3p,,,,
RNF11,0.223,0.592,0.546,3,hsa-miR-1253,hsa-miR-218-2-3p,hsa-miR-4722-3p,,,,
MYOZ3,0.011,0.592,0.158,3,hsa-miR-6829-3p,hsa-miR-371b-5p,hsa-miR-4722-3p,,,,
KCNJ12,0.00306,0.585,0.101,3,hsa-miR-6802-3p,hsa-miR-412-3p,hsa-miR-4722-3p,,,,
FAM153B,0.00582,0.592,0.126,3,hsa-miR-6829-3p,hsa-miR-5585-3p,hsa-miR-4722-3p,,,,
MBOAT2,0.014,0.592,0.172,3,hsa-miR-4282,hsa-miR-5591-5p,hsa-miR-4722-3p,,,,
RRP36,0.11,0.592,0.391,3,hsa-miR-6829-3p,hsa-miR-6769b-5p,hsa-miR-4722-3p,,,,
SRF,0.0743,0.592,0.33,3,hsa-miR-1229-3p,hsa-miR-6802-3p,hsa-miR-4722-3p,,,,
FAM151B,0.0632,0.592,0.309,3,hsa-miR-1253,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
KCNMB1,0.0705,0.592,0.323,3,hsa-miR-3130-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
ZNF860,0.0326,0.592,0.237,3,hsa-miR-371b-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
MRPL17,0.0546,0.592,0.291,3,hsa-miR-4282,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
SLC7A11,0.0925,0.592,0.363,3,hsa-miR-4282,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
TMOD3,0.139,0.592,0.435,3,hsa-miR-4282,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
RNF149,0.0529,0.592,0.287,3,hsa-miR-4524b-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
GTF2H5,0.058,0.592,0.298,3,hsa-miR-548h-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
SYAP1,0.0597,0.592,0.302,3,hsa-miR-5587-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
TMEM151A,0.0157,0.592,0.18,3,hsa-miR-6722-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
ASB16,0.306,0.592,0.646,3,hsa-miR-6769b-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
RNF19B,0.0883,0.592,0.356,3,hsa-miR-6802-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
CLUAP1,0.0822,0.592,0.345,3,hsa-miR-7151-5p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
RILPL1,0.0289,0.592,0.226,3,hsa-miR-7703,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
CES2,0.0301,0.592,0.23,3,hsa-miR-7854-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
CRISPLD2,0.264,0.592,0.596,3,hsa-miR-7854-3p,hsa-miR-6829-3p,hsa-miR-4722-3p,,,,
ZBTB3,0.0482,0.592,0.277,3,hsa-miR-371b-5p,hsa-miR-6847-3p,hsa-miR-4722-3p,,,,
RPL7L1,0.3,0.592,0.639,3,hsa-miR-548h-5p,hsa-miR-6847-3p,hsa-miR-4722-3p,,,,
DNAL1,0.273,0.592,0.607,3,hsa-miR-7703,hsa-miR-6847-3p,hsa-miR-4722-3p,,,,
ACBD7,0.0192,0.592,0.194,3,hsa-miR-3130-3p,hsa-miR-7151-5p,hsa-miR-4722-3p,,,,
CAPZA2,0.112,0.592,0.395,3,hsa-miR-4524b-5p,hsa-miR-7151-5p,hsa-miR-4722-3p,,,,
GK5,0.2,0.592,0.517,3,hsa-miR-1227-5p,hsa-miR-7703,hsa-miR-4722-3p,,,,
COL1A1,0.0842,0.592,0.348,3,hsa-miR-412-3p,hsa-miR-1253,hsa-miR-4741,,,,
EIF5AL1,0.124,0.592,0.413,3,hsa-miR-1253,hsa-miR-412-3p,hsa-miR-4741,,,,
GDE1,0.46,0.615,0.83,3,hsa-miR-371b-5p,hsa-miR-548h-5p,hsa-miR-4741,,,,
MKI67,0.0597,0.592,0.302,3,hsa-miR-5587-5p,hsa-miR-4722-3p,hsa-miR-548h-5p,,,,
ENPP5,0.122,0.592,0.409,3,hsa-miR-1253,hsa-miR-660-5p,hsa-miR-548h-5p,,,,
AKAP11,0.124,0.592,0.413,3,hsa-miR-5585-3p,hsa-miR-6722-3p,hsa-miR-548h-5p,,,,
DOT1L,0.0125,0.592,0.165,3,hsa-miR-412-3p,hsa-miR-1227-5p,hsa-miR-5585-3p,,,,
CCND1,0.517,0.63,0.901,3,hsa-miR-4524b-5p,hsa-miR-1253,hsa-miR-5587-5p,,,,
KIAA1456,0.175,0.592,0.485,3,hsa-miR-4524b-5p,hsa-miR-134-3p,hsa-miR-5587-5p,,,,
ANGPT4,0.0513,0.592,0.284,3,hsa-miR-7703,hsa-miR-371b-5p,hsa-miR-5587-5p,,,,
NFATC2IP,0.0379,0.592,0.251,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-5587-5p,,,,
HSPE1-MOB4,0.0632,0.592,0.309,3,hsa-miR-4524b-5p,hsa-miR-4722-3p,hsa-miR-5587-5p,,,,
MOB4,0.0668,0.592,0.316,3,hsa-miR-4524b-5p,hsa-miR-4722-3p,hsa-miR-5587-5p,,,,
KCNK5,0.0802,0.592,0.341,3,hsa-miR-371b-5p,hsa-miR-1253,hsa-miR-5591-5p,,,,
TLN1,0.0802,0.592,0.341,3,hsa-miR-371b-5p,hsa-miR-4282,hsa-miR-5591-5p,,,,
PTPA,0.0762,0.592,0.334,3,hsa-miR-1253,hsa-miR-4741,hsa-miR-5591-5p,,,,
MAP3K2,0.0822,0.592,0.345,3,hsa-miR-5587-5p,hsa-miR-5585-3p,hsa-miR-5591-5p,,,,
SEC22C,0.0157,0.592,0.18,3,hsa-miR-6847-3p,hsa-miR-371b-5p,hsa-miR-660-5p,,,,
NUP50,0.0436,0.592,0.266,3,hsa-miR-4282,hsa-miR-4524b-5p,hsa-miR-660-5p,,,,
HNRNPUL1,0.099,0.592,0.373,3,hsa-miR-1229-3p,hsa-miR-134-3p,hsa-miR-6722-3p,,,,
CDKN1A,0.712,0.737,1.19,3,hsa-miR-1229-3p,hsa-miR-371b-5p,hsa-miR-6722-3p,,,,
KLHL15,0.615,0.67,1.03,3,hsa-miR-1229-3p,hsa-miR-4282,hsa-miR-6722-3p,,,,
FBXL18,0.159,0.592,0.463,3,hsa-miR-5585-3p,hsa-miR-4524b-5p,hsa-miR-6722-3p,,,,
CAPZA1,0.141,0.592,0.438,3,hsa-miR-548h-5p,hsa-miR-4722-3p,hsa-miR-6722-3p,,,,
PDLIM5,0.0277,0.592,0.223,3,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6722-3p,,,,
TRAF7,0.0529,0.592,0.287,3,hsa-miR-1229-3p,hsa-miR-6802-3p,hsa-miR-6722-3p,,,,
RHOA,0.0724,0.592,0.327,3,hsa-miR-4741,hsa-miR-1227-5p,hsa-miR-6769b-5p,,,,
RPL41,0.0802,0.592,0.341,3,hsa-miR-7854-3p,hsa-miR-218-2-3p,hsa-miR-6769b-5p,,,,
CLPB,0.162,0.592,0.467,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-6769b-5p,,,,
SCAMP4,0.167,0.592,0.474,3,hsa-miR-4524b-5p,hsa-miR-4749-5p,hsa-miR-6769b-5p,,,,
TAOK1,0.448,0.612,0.815,3,hsa-miR-4524b-5p,hsa-miR-5585-3p,hsa-miR-6769b-5p,,,,
NACC1,0.574,0.651,0.977,3,hsa-miR-218-2-3p,hsa-miR-5591-5p,hsa-miR-6769b-5p,,,,
CHERP,0.0762,0.592,0.334,3,hsa-miR-4749-5p,hsa-miR-5591-5p,hsa-miR-6769b-5p,,,,
POLR2E,0.0529,0.592,0.287,3,hsa-miR-4722-3p,hsa-miR-6722-3p,hsa-miR-6769b-5p,,,,
DCTN4,0.00908,0.592,0.147,3,hsa-miR-4282,hsa-miR-218-2-3p,hsa-miR-6774-3p,,,,
CCPG1,0.00412,0.592,0.111,3,hsa-miR-6847-3p,hsa-miR-4282,hsa-miR-6774-3p,,,,
PHB2,0.167,0.592,0.474,3,hsa-miR-548h-5p,hsa-miR-412-3p,hsa-miR-6802-3p,,,,
FSCN1,0.0883,0.592,0.356,3,hsa-miR-4749-5p,hsa-miR-6722-3p,hsa-miR-6802-3p,,,,
SP2,0.0529,0.592,0.287,3,hsa-miR-6722-3p,hsa-miR-7854-3p,hsa-miR-6802-3p,,,,
E2F2,0.0632,0.592,0.309,3,hsa-miR-4722-3p,hsa-miR-134-3p,hsa-miR-6829-3p,,,,
ZNF417,0.246,0.592,0.575,3,hsa-miR-7703,hsa-miR-3130-3p,hsa-miR-6829-3p,,,,
RPL37,0.0266,0.592,0.219,3,hsa-miR-4722-3p,hsa-miR-371b-5p,hsa-miR-6829-3p,,,,
GRB2,0.0822,0.592,0.345,3,hsa-miR-4749-5p,hsa-miR-4282,hsa-miR-6829-3p,,,,
ZSWIM4,0.00536,0.592,0.122,3,hsa-miR-1253,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
GJD3,0.165,0.592,0.47,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
ITGA2,0.106,0.592,0.384,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
RABGAP1L,0.065,0.592,0.312,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
SLC4A4,0.000967,0.539,0.0682,3,hsa-miR-5585-3p,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
ZNF347,0.159,0.592,0.463,3,hsa-miR-5587-5p,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
POC1A,0.0365,0.592,0.248,3,hsa-miR-6722-3p,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
NUPL2,0.115,0.592,0.399,3,hsa-miR-7703,hsa-miR-4722-3p,hsa-miR-6829-3p,,,,
ABCG8,0.178,0.592,0.488,3,hsa-miR-4722-3p,hsa-miR-4741,hsa-miR-6829-3p,,,,
SLC7A5,0.563,0.647,0.962,3,hsa-miR-1227-5p,hsa-miR-4749-5p,hsa-miR-6829-3p,,,,
ZNF8,0.0407,0.592,0.259,3,hsa-miR-6769b-5p,hsa-miR-5587-5p,hsa-miR-6829-3p,,,,
MEX3A,0.0802,0.592,0.341,3,hsa-miR-6769b-5p,hsa-miR-6722-3p,hsa-miR-6829-3p,,,,
GSR,0.099,0.592,0.373,3,hsa-miR-4722-3p,hsa-miR-6802-3p,hsa-miR-6829-3p,,,,
ZNF556,0.119,0.592,0.406,3,hsa-miR-4722-3p,hsa-miR-7703,hsa-miR-6829-3p,,,,
ETNK1,0.0686,0.592,0.32,3,hsa-miR-548h-5p,hsa-miR-4282,hsa-miR-6847-3p,,,,
ALDH6A1,0.0192,0.592,0.194,3,hsa-miR-6829-3p,hsa-miR-4282,hsa-miR-6847-3p,,,,
SLC1A5,0.288,0.592,0.625,3,hsa-miR-3130-3p,hsa-miR-4722-3p,hsa-miR-6847-3p,,,,
PRKCA,0.00631,0.592,0.129,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-6847-3p,,,,
PDE12,0.141,0.592,0.438,3,hsa-miR-548h-5p,hsa-miR-4722-3p,hsa-miR-6847-3p,,,,
SORD,0.0202,0.592,0.198,3,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-6847-3p,,,,
TAF8,0.099,0.592,0.373,3,hsa-miR-7703,hsa-miR-4741,hsa-miR-6847-3p,,,,
GPC4,0.0724,0.592,0.327,3,hsa-miR-7703,hsa-miR-548h-5p,hsa-miR-6847-3p,,,,
PAFAH1B2,0.183,0.592,0.496,3,hsa-miR-548h-5p,hsa-miR-5585-3p,hsa-miR-6847-3p,,,,
AVL9,0.112,0.592,0.395,3,hsa-miR-7703,hsa-miR-5591-5p,hsa-miR-6847-3p,,,,
YTHDF1,0.0421,0.592,0.262,3,hsa-miR-4282,hsa-miR-660-5p,hsa-miR-7151-5p,,,,
TMEM44,0.0079,0.592,0.14,3,hsa-miR-4524b-5p,hsa-miR-371b-5p,hsa-miR-7703,,,,
FBXO47,0.0436,0.592,0.266,3,hsa-miR-4722-3p,hsa-miR-371b-5p,hsa-miR-7703,,,,
WDR12,0.0243,0.592,0.212,3,hsa-miR-4722-3p,hsa-miR-371b-5p,hsa-miR-7703,,,,
CSE1L,0.0379,0.592,0.251,3,hsa-miR-548h-5p,hsa-miR-371b-5p,hsa-miR-7703,,,,
MTHFD1,0.103,0.592,0.381,3,hsa-miR-548h-5p,hsa-miR-371b-5p,hsa-miR-7703,,,,
TRAF3IP1,0.0289,0.592,0.226,3,hsa-miR-6847-3p,hsa-miR-371b-5p,hsa-miR-7703,,,,
PCLAF,0.0277,0.592,0.223,3,hsa-miR-371b-5p,hsa-miR-4722-3p,hsa-miR-7703,,,,
KNSTRN,0.0326,0.592,0.237,3,hsa-miR-5587-5p,hsa-miR-4722-3p,hsa-miR-7703,,,,
ARL10,0.165,0.592,0.47,3,hsa-miR-6829-3p,hsa-miR-4722-3p,hsa-miR-7703,,,,
